code,label,slug,restaurant_name,objectID
TYC_1262,Northern Thai,northern-thai,Maze,73799
TYC_1252,Thai contemporary,thai-contemporary,Wana Yook,73798
TYC_1117,Thai,thai,Krua Jay Sim,73797
TYC_1173,Street Food,street-food,Tang Jai Yang,73796
TYC_1059,Indian,indian,Haoma,73795
TYC_53,European,european,Good Everything,73794
TYC_1261,Isan,isan,Samuay & Sons,73793
TYC_1173,Street Food,street-food,Som Tum Jae Kai (1st branch),73792
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,Quince,73791
TYC_1030,Chinese,chinese,Jia Tong Heng (Sidonchai),73790
TYC_1252,Thai contemporary,thai-contemporary,The Redbox,73789
TYC_1262,Northern Thai,northern-thai,Ginger Farm Kitchen,73788
TYC_1056,Greek,greek,Aesop's,73787
TYC_1203,Asian Contemporary,asian-contemporary,Blackitch Artisan Kitchen,73786
TYC_1173,Street Food,street-food,Khun Jaeng Guay Tiew Pak Mor Kao Wang,73785
TYC_1117,Thai,thai,Krua Supanniga by Khunyai,73784
TYC_800,French Contemporary,french-contemporary,Savelberg,73783
TYC_1067,Italian,italian,Red Sauce,73782
TYC_1173,Street Food,street-food,Chakki,73781
TYC_1263,Southern Thai,southern-thai,Ta Tuay,73780
TYC_1067,Italian,italian,La Gaetana,73779
TYC_1096,Seafood,seafood-1096,Sripol Seafood House,73778
TYC_1117,Thai,thai,Supanniga Eating Room (Thong Lo),73777
TYC_1261,Isan,isan,Somtum Khun Kan,73776
TYC_1173,Street Food,street-food,Baan Yai Phad Thai,73775
TYC_1044,Spanish,spanish,Uno Mas,73774
TYC_1067,Italian,italian,Lenzi Tuscan Kitchen,73773
TYC_1252,Thai contemporary,thai-contemporary,Sra Bua by Kiin Kiin,73772
TYC_1030,Chinese,chinese,Reunros (Rama 3),73771
TYC_1173,Street Food,street-food,Bunloet,73770
TYC_1117,Thai,thai,Kaeng Pa (Loong Sa-Nga),73769
TYC_1068,Japanese,japanese,Kinu by Takagi,73768
TYC_1263,Southern Thai,southern-thai,Sorn,73767
TYC_1253,Thai-Chinese,thai-chinese,Lukkaithong (The Emquartier),73766
TYC_1117,Thai,thai,Krua Apsorn (Sam Sen),73765
TYC_1068,Japanese,japanese,Jidori Cuisine Ken,73764
TYC_1173,Street Food,street-food,Pa Noi Noodles,73763
TYC_1117,Thai,thai,Saithong River,73762
TYC_1064,Innovative,innovative,Potong,73761
TYC_1096,Seafood,seafood-1096,Krua Boonlert Bangpu,73760
TYC_1261,Isan,isan,So Jeng,73759
TYC_1262,Northern Thai,northern-thai,The House by Ginger,73758
TYC_1252,Thai contemporary,thai-contemporary,The Ironwood,73757
TYC_800,French Contemporary,french-contemporary,Chef's Table,73756
TYC_1261,Isan,isan,Praprai,73755
TYC_1067,Italian,italian,Vacca Italian by Fabio,73754
TYC_1173,Street Food,street-food,Jok Guay Jab Tom Sen Bat Queue,73753
TYC_811,European Contemporary,european-contemporary,Sühring,73752
TYC_1173,Street Food,street-food,Elvis Suki (Soi Yotse),73751
TYC_1117,Thai,thai,Ta Khai,73750
TYC_1117,Thai,thai,Suan Thip,73749
TYC_1068,Japanese,japanese,Yamazato,73748
TYC_1117,Thai,thai,Celadon,73747
TYC_1064,Innovative,innovative,Canvas,73746
TYC_1068,Japanese,japanese,Gen Japanese Charcoal Grill (Ekkamai),73745
TYC_1261,Isan,isan,Somtum Der (Si Lom),73744
TYC_1117,Thai,thai,Supanniga Eating Room (Tha Tian),73743
TYC_1096,Seafood,seafood-1096,Sornthong,73742
TYC_800,French Contemporary,french-contemporary,J'AIME by Jean-Michel Lorain,73741
TYC_1173,Street Food,street-food,Hong Khao Tom Pla,73740
TYC_1117,Thai,thai,Baan Phadthai,73739
TYC_1263,Southern Thai,southern-thai,Juumpo,73738
TYC_1261,Isan,isan,Lay Lao (Ari),73737
TYC_1117,Thai,thai,Krua Loong Loy Pa Lan,73736
TYC_1173,Street Food,street-food,Ten Suns,73735
TYC_1067,Italian,italian,Acqua,73734
TYC_1117,Thai,thai,Patara,73733
TYC_1173,Street Food,street-food,Khao Tom Pla Kimpo (Pak Trok Chan Branch),73732
TYC_1059,Indian,indian,Ms.Maria & Mr.Singh,73731
TYC_1173,Street Food,street-food,Khao Soi Lung Prakit Kad Kom,73730
TYC_75,Steakhouse,steakhouse,New York Steakhouse,73729
TYC_1173,Street Food,street-food,Somyos,73728
TYC_1253,Thai-Chinese,thai-chinese,Somchai Ped Palo (Go Tae) Bang Len,73727
TYC_1173,Street Food,street-food,Aim Aot,73726
TYC_1173,Street Food,street-food,Lab Mu Worachai,73725
TYC_1030,Chinese,chinese,Nan Bei,73724
TYC_1173,Street Food,street-food,Guay Jub Chang Moi Tat Mai,73723
TYC_1173,Street Food,street-food,Sanpakoi Kanomjeen,73722
TYC_1173,Street Food,street-food,Song 24 Nor,73721
TYC_1261,Isan,isan,Prasit Pochana,73720
TYC_1065,International,international,Mae Ya,73719
TYC_1117,Thai,thai,Plu,73718
TYC_1261,Isan,isan,Mekin Farm,73717
TYC_1173,Street Food,street-food,Chai Phochana,73716
TYC_1173,Street Food,street-food,O Cha Rot,73715
TYC_1173,Street Food,street-food,Go Benz,73714
TYC_1117,Thai,thai,Paste,73713
TYC_1115,Sushi,sushi,Ginza Sushi Ichi,73712
TYC_1173,Street Food,street-food,Khao Tom Thanon Di Buk,73711
TYC_1252,Thai contemporary,thai-contemporary,Suay (Cherngtalay),73710
TYC_811,European Contemporary,european-contemporary,Surf & Turf by Soul Kitchen,73709
TYC_1173,Street Food,street-food,Chuan Chim,73708
TYC_1173,Street Food,street-food,Roti Taew Nam,73707
TYC_1117,Thai,thai,Baan Benjarong Pai (The Crystal SB Ratchapruek),73706
TYC_1067,Italian,italian,Enoteca,73705
TYC_1173,Street Food,street-food,Jongjit Kitchen,73704
TYC_1117,Thai,thai,Baan,73703
TYC_1173,Street Food,street-food,O Tao Bang Niao,73702
TYC_1117,Thai,thai,Nahm,73701
TYC_1253,Thai-Chinese,thai-chinese,Kaithong Original (Mueang Thong Thani),73700
TYC_1173,Street Food,street-food,Go La,73699
TYC_1117,Thai,thai,Mor Mu Dong,73698
TYC_1117,Thai,thai,Blue Elephant,73697
TYC_1173,Street Food,street-food,Charoen Saeng Silom,73696
TYC_1117,Thai,thai,The Local,73695
TYC_1263,Southern Thai,southern-thai,Tu Kab Khao,73694
TYC_1117,Thai,thai,Banya,73693
TYC_1263,Southern Thai,southern-thai,Beer Hima (Prachachuen),73692
TYC_1025,Cantonese,cantonese,Chef Man (Sathon),73691
TYC_1117,Thai,thai,Chakrabongse Dining,73690
TYC_1263,Southern Thai,southern-thai,The Charm Dining Gallery,73689
TYC_1049,French,french,Artur,73688
TYC_1173,Street Food,street-food,Khao Soi Mae Manee,73687
TYC_1067,Italian,italian,Biscotti,73686
TYC_1117,Thai,thai,Chim by Siam Wisdom,73685
TYC_1173,Street Food,street-food,Jadjan,73684
TYC_1117,Thai,thai,Blue Elephant,73683
TYC_1261,Isan,isan,Baan Somtum (Sathon),73682
TYC_1173,Street Food,street-food,Mu Krop (Chi Hong),73681
